predicted_message_type,message_type,sms_sender,message
OTP,OTP,VK-CANBNK,<#> 087145 is One Time Password for registering yourself to Canara e-Passbook app. Please do not share this with others. CWzFoBvJHfg -Canara Bank
OTP,OTP,VM-CanBnk,"OTP for your canara card ending 0087 is OTP 847335, valid for 5 mins. Usable only once. Don't disclose it to anyone. Call Cust Care if not initiated by you.- Canara Bank"
OTP,PROMO,VM-HDFCBN,"Alert! Never share UPI PIN, Customer ID, Password, OTP, Card No./PIN/CVV with anyone even if they claim to represent HDFC Bank. Know more : resu.io/4443CKBGKU7k"
OTP,PROMO,VM-CANBNK,"UPI Pin is used for authorization of payment. Money will always be deducted if you use UPI Pin. Never share UPI Pin, CVV, OTP with anyone. UPI Pin will a/OTP/UPI PIN to others - Canara Bank."
OTP,OTP,VM-CanBnk,468712 is the OTP for txn of 300.00 at WWW PHONEP on your CANARA BANK Debit Card ending 2397 valid for 5 mins. Please do not share the OTP with anyone.
OTP,OTP,VM-CanBnk,651759 is the OTP for txn of  at Dream 11 on your CANARA BANK Debit Card ending 5936 valid for 5 mins. Please do not share the OTP with anyone.
OTP,OTP,BP-PAYTMB,The Secret OTP is 208325 for your txn of INR 2140.0 at ONE97 COMM on card ending 3138. Valid only for 3 minutes. Do not share the OTP with anyone :PPBL
OTP,OTP,JK-SBIINB,"Dear Customer, OTP to approve transaction of Rs. 6000.00 from your A/c No. ending 5403 to Manappuram finance limited is 81548962. Do not share with anyone. -SBI"
OTP,INFO,JX-HDFCBK,NDNC Lead with CRMnext Lead No: 385088400 is created with Br code: 0254  Product: Insta Loan  for J M SUNIL Phone:6366345805 Lead Priority: Urgent
OTP,OTP,BP-iPaytm, 996215  is your code for payment of Rs 2096.00 at Blue Dart Express Limited. Please share this code with merchant to complete payment. Team Paytm
OTP,PROMO,AD-SBICRD,"Dear SBI Cardholder, We've further simplified your login experience! You can now use your Mobile No. or Credit Card No. & OTP to login at https://sbicard.com"
OTP,OTP,JM-SBIINB,"Dear Customer, OTP to register for State Bank Internet Banking facility is 55530829. Do not share with anyone. -SBI"
OTP,OTP,BZ-SBIINB,"Dear Customer, OTP to approve transaction of Rs. 500.00 from your A/c No. ending 9900 to SBI EPAY is 65275878. Do not share with anyone. -SBI"
OTP,OTP,JK-SBIINB,"Dear Customer, OTP TO APPROVE E-MANDATE SBI REQUEST ID 9005573 OF RS. 1 IN A/C NO. XXXX9897 IS 15553799. DO NOT SHARE IT WITH ANYONE. -SBI"
OTP,OTP,VM-UNIONB,OTP for Online Transactions on your AB Debit Card ending 9737 is THJ-541515 . Valid for 3 min . Dt  19-04-21 23.05 - Union Bank of India
OTP,OTP,VM-ICICIB,"Dear Customer, 868903 is OTP to complete bill payment for APEPDCL-Eastern. OTPs are SECRET. DO NOT disclose it to anyone. Bank NEVER asks for OTP."
OTP,OTP,VK-CanBnk,553765 is the OTP for txn of INR 588.00 at http://truebalance.io/ on your CANARA BANK Debit Card ending 4500 valid for5 mins. Please do not share the OTP with anyone.- Canara Bank
OTP,OTP,BP-SBIINB,"Dear Customer, OTP to approve transaction of Rs. 908.00 from your A/c No. ending 1862 to Assam Power Distribution Compa is 67321340. Do not share with anyone. -SBI"
OTP,OTP,AD-CANBNK,352964 one time password to proceed on Canara bank Mobile banking. It is valid for 15 minutes. Do not share your OTP with anyone. - Canara Bank.
OTP,OTP,JK-CANBNK,712199 one time password to proceed on Canara bank Mobile banking. It is valid for 15 minutes. Do not share your OTP with anyone.- Canara Bank.
ACTIVATE,REQUEST,VK-UNIONB,"Dear Customer, Payee LUKESHWAR SBI has been added successfully and will be activated after 1mins, Reference ID 109219343307. You can initiate fund transfer once payee is activated. -Union Bank of India"
ACTIVATE,REQUEST,AX-UNIONB,"Dear Customer, Payee Rekha has been added successfully and will be activated after 1mins, Reference ID 102212550965. You can initiate fund transfer once payee is activated."
ACTIVATE,INFO,BP-SBIINB,"Dear Customer, You added a third party on 02-06-2021 2:19:26 PM. If not done by you , please Lock User Access (link on Login Page) to your internet banking immediately. -SBI"
ACTIVATE,REQUEST,VK-UNIONB,"Dear Customer, Payee Canra has been added successfully and will be activated after 1mins, Reference ID 111718645653. You can initiate fund transfer once payee is activated. -Union Bank of India"
ACTIVATE,REQUEST,AX-UNIONB,"Dear Customer, Payee Patil has been added successfully and will be activated after 1mins, Reference ID 102411271215. You can initiate fund transfer once payee is activated."
ACTIVATE,INFO,BX-SBIINB,"Dear Customer, You added a third party on 26-05-2021 9:59:31 AM. If not done by you , please Lock User Access (link on Login Page) to your internet banking immediately. -SBI"
ACTIVATE,REQUEST,JD-BOBSMS,Request for updation of Mobile No. 8755848185 to 9105850618 in CUST_ID XXXXX9325 w.e.f 10-03-2021 16:07:58 has been registered and will be activated after two days.
ACTIVATE,INFO,BX-SBIINB,"Dear Customer, You added a third party on 06-06-2021 4:15:47 PM. If not done by you , please Lock User Access (link on Login Page) to your internet banking immediately. -SBI"
